Source,Probe Kit/Shallow sequencing,Subfamily,Genus,Taxon accepted name, NCBI Project ID,Lab #: Link to raw data/NCBI SRA #,Herbaria or Botanical Garden,Voucher information,Locality
SRA,Angiosperms353,Pitcairnioideae,Deuterocohnia,Deuterocohnia longipetala,PRJNA759878,SRR15730924,WU,W. Till 10045,"Argentina: Prov. Tucuman, Depto. Trancas, 2 km N bifurcation to Gonzalo"
Newly generated data,angiosperm v.4,Pitcairnioideae,Dyckia,Dyckia pampeana,ND,T1586: https://www.dropbox.com/scl/fo/5bzb6vo5ucit3ledm4jzj/h?rlkey=tucwr448negkb015u9eto9ae6&e=1&st=x51z3tkn&dl=0,MEXU,"Rossado, 431","Uruguay: San José, Sierra de Mahoma"
Newly generated data,angiosperm v.4,Pitcairnioideae,Dyckia,Dyckia remotiflora,ND,T1585: https://www.dropbox.com/scl/fo/sue85uvbpuic01m9ib4hg/h?rlkey=l23we8f51zzfoe3ksq47nm4lm&e=1&st=b3rtahbt&dl=0,MEXU,"Rossado, 430","Uruguay: Montevideo, Punta Espinillo"
Newly generated data,angiosperm v.4,Pitcairnioideae,Encholirium,Encholirium sp.,ND,T1539: https://www.dropbox.com/scl/fo/zdkfc8h172l0qy5w50ceg/AIC3xtU25v-V0V7OeFMedpA?rlkey=wflcjp69v78z1u2bk6n6yttmn&e=1&st=yp9s3uvs&dl=0,Utrecht University Botanic Gardens,2007GR01378,"Brazil: Bahia, Chapada area, 800 km inland from Salvadore"
Newly generated data,angiosperm v.4,Pitcairnioideae,Fosterella,Fosterella micrantha,ND,T1422: https://www.dropbox.com/scl/fo/3tqluo3q1mg4j6bh7a2cu/AA3EVIfiIUgswrZvp5-DI6I?rlkey=ndfkcjeufz1leglff7ybn0yut&e=1&st=xov0v4hp&dl=0,CICY,"N. Schutz, s/n","México: Chiapas, Munc. Huixtla, Huixtla"
SRA,Shallow sequencing,Pitcairnioideae,Fosterella,Fosterella penduliflora,PRJNA701548,SRR13700302,NA,NA,Bolivia
Newly generated data,angiosperm v.4,Pitcairnioideae,Pitcairnia,Pitcairnia breedlovei,ND,T1425: https://www.dropbox.com/scl/fo/du44500qkdfl7vvxbp9aj/AOpfWbKZiygr3RnAkQcj0mo?rlkey=6zoxtu2mn1xxgtx05rkc6vzhn&e=1&st=9rn46hl6&dl=0,CICY,"Romero Soler, 1227","México: Chiapas, Ocozocoautla de Espinoza, cerca del Aguacero"
Newly generated data,angiosperm v.4,Pitcairnioideae,Pitcairnia,Pitcairnia feliciana,ND,T1445: https://www.dropbox.com/scl/fo/ji0z3g4vlage45x5tvtpz/ACEtt9UbfDoeJpr_0YQTbJ0?rlkey=kff01hy1wjft5qkaaze8n0e68&e=1&st=9fej8ot1&dl=0,K,"Larridon, 2 P6-2","Guinea, Kindia, Mayon-Koure"
SRA,Shallow sequencing,Tillandsioideae,Tillandsia,Tillandsia schiedeana,PRJNA1052467,SRR27284165,NA,De la Harpe ,Oaxaca: San Juan Bautista Valle Nacional 300m
